Data_name,Data_name_kr,Acronym,Data_type,Data_category,Source_organization,Access_method,Portal_or_system_url,Spatial_coverage,Spatial_resolution,Temporal_coverage,Temporal_resolution,Data_volume_or_scale,Collection_method,Instruments_or_tools,Data_format,Parameters_measured,Usage_in_study,Data_availability,Notes,Source
Water System Fund Operational Performance Evaluation,수계관리기금 운용성과 평가 결과,Not in source,administrative,administrative,"기획재정부, 환경부, 영산강·섬진강수계관리위원회",internal_DB,Not in source,영산강·섬진강 수계,사업 항목별,2015–2019,연간,5개년 평점 및 등급,survey/assessment,"재정사업 자율평가, 기금 존치평가",Paper form/Report,"사업별 목표달성률, 종합평점, 평가등급(우수, 보통, 미흡)",기금운용의 효율성 진단 및 성과 목표(2024년까지) 설정 근거로 활용,restricted,정부 합동 평가 결과 및 자체 성과 지표 포함,56
Yeongsan/Seomjin River Basin Public Opinion Survey,수계기금 운용 관련 담당 공무원 설문 및 FGI 결과,Not in source,survey,administrative,한국수자원공사 (연구진),field_collection,Not in source,"광주광역시, 전라북도, 전라남도 (28개 시군구)",지자체 담당자 기준,2020.03.16–2020.03.27,one-time,"3개 시도, 28개 시군구 담당 공무원 및 시민단체(3개)",questionnaire / Focus Group Interview,"설문지, FGI 면담 가이드",Qualitative description,"기금 사업별 증액 필요성, 토지매수 사업에 대한 견해, 유역별 수질개선 요구사항",현장의 요구사항을 반영한 기금 투자 우선순위 선정 및 신규 사업 발굴에 활용,internal_only,사업비 비중 조정에 대한 지자체별/시민단체별 이해관계 데이터 포함,56
Yeongsan/Seomjin River Basin Target Water Quality Standards,중권역별 수질 및 수생태계 목표기준,Not in source,administrative,water_quality,환경부,public_portal,환경부고시 제2015-254호,영산강·섬진강 수계 중권역,reach-scale (중권역 단위),2016–2025 (제2차 물환경관리 기본계획),Not in source,전 수계 주요 지점별 목표 수질,administrative,제2차 물환경관리 기본계획,literature,"COD, BOD, T-P 등 목표 등급(좋음 Ib 이상)",기금 운용의 최종적인 수질 개선 목표치 설정의 근거로 사용,open,고시된 법적 기준치 데이터,56
RWIS (Real-time Water Information System),실시간 수압정보시스템,RWIS,DB_system,hydrological,K-water,internal_DB,RWIS,local municipalities,point measurement,Not in source,real-time,Not in source,automatic sensor,pressure sensors,digital,water pressure,Referenced as part of the integrated data analysis for leakage and water quantity management.,internal_only,Provides real-time pressure and flow monitoring.,17
Integrated Dam Flood Control Operation System,댐군홍수조절연계운영시스템,COSFIM,DB_system,hydrological,K-water,internal_DB,Not in source,"한강수계(충주댐, 횡성댐), 섬진강수계(주암댐), 낙동강수계(합천댐, 남강댐)",댐 단위 분석,2001–2022,1시간~24시간,전국 다목적댐 21개 관련 데이터,automatic sensor,COSFIM 모형,Not in source,"유입량, 방류량, 수위, 강우량",대상 댐의 예비방류 시나리오 분석 및 모의운영을 통해 수위 변화와 효과 검토에 활용,internal_only,실제 홍수대응 의사결정 지원을 위한 핵심 시스템,57
Water Environment Information System Water Quality Data,물환경정보시스템 수질자료,NEIS (inferred),field_measurement,water_quality,환경부,public_portal,물환경정보시스템 (link),"영천댐, 대곡댐, 사연댐 내 측정지점","지점 측정 (댐별 1, 2지점)",2015-2019,월별 (monthly),5개년 자료,자동/수동 수질측정망,Not in source,Not in source,"pH, DO, BOD, COD, TOC, SS, 총대장균군, T-N, T-P, Chl-a","댐 호소수질 현황 분석, 목표수질 달성여부 검토, 수질모델 보정용 관측값으로 사용",open,호소내 수질 및 수생태계 환경기준(2020.12.9 기준) 적용,58
KMA Meteorological Data Open Portal,기상자료개방포탈 기상자료,Not in source,meteorological,"rainfall, temperature, etc.",기상청 (KMA),public_portal,기상자료개방포탈 (link),"영천기상대, 울산기상대",지점 측정,2010-2019,월별/연별,최근 10년간 자료,ASOS/AWS 자동관측,Thiessen망 분석법,Not in source,"기온(평균, 최고, 최저), 강수량, 풍속, 상대습도, 일조시간","유역별 기상 및 강우특성 분석, 수질모델(HSPF)의 기상 입력자료로 활용",open,Thiessen망 분석을 통해 댐 유역 기상자료 조사 수행,58
Multi-purpose Dam Floating Debris Statistics,다목적댐 부유물 발생 현황 데이터,Not in source,administrative,Floating debris volume,K-water (한국수자원공사),internal_DB,한국수자원공사 조사 자료,"National (10 major multi-purpose dams in Korea including Chungju, Daecheong, Andong dams)",dam-scale,2017 – 2021,yearly,"30,000 tons or more (as of 2023)",manual sampling and counting during collection,Not in source,Statistics report,"Annual debris volume by dam, debris composition (wood, grass, domestic waste, recyclables)",국내 댐 부유물 발생 현황 분석 및 자원화 방안의 경제성 평가 기초 자료로 활용,open,집중호우 및 태풍 시기 발생량이 급증하는 특성이 반영됨,59
Livestock Manure Generation and Treatment Statistics,가축분뇨 발생 및 처리 현황,Not in source,administrative,Livestock waste,National Institute of Environmental Research (국립환경과학원),public_portal,가축분뇨 유역별 발생량 통계,"National (major river basins: Han, Nakdong, Geum, Yeongsan rivers)",basin-scale,2019 – 2022,yearly,48 million tons (as of 2023),statistical survey,Not in source,Digital statistics,"Number of livestock (cattle, pigs, poultry), manure volume by animal type and basin, treatment method ratio (compost, liquid fertilizer, etc.)","유기성 폐자원 통합 자원화 모델(바이오차, 고형연료) 설계를 위한 유입 부하량 산정에 활용",open,국립환경과학원의 유역별 발생량 통계 자료를 인용함,59
Floating Debris Physical and Chemical Analysis Data,부유물 성상 및 원소 분석 데이터,Not in source,lab_analysis,Biomass properties,Chonbuk National University (전북대학교 산학협력단),field_collection,FITI 시험연구원 / (주)수호분석 의뢰,"Daecheong, Chungju, Andong, Namgang, Seomjingang dams",point measurement,2024.06.17 - 2024.07.03,one-time,Not in source,manual sampling,"Drying oven (HB-501M), FTIR, Elemental analyzer",Test report (시험성적서),"Moisture content, Calorific value (kcal/kg), Elemental composition (C, H, O, N, S), Heavy metals (Hg, Cd, Pb, As, Cr)",부유물 원료 및 생산된 바이오차의 품질을 분석하여 비료 공정 규격 및 고형연료 제품 기준 준수 여부 확인,internal_only,초본류와 목본류 부유물을 구분하여 분석함,59
Land Cover Map 2019,2019년 토지피복도,Not in source,geospatial,GIS,Ministry of Environment,public_portal,Not in source,"Nakdong River Basin (Mainstream, Hwang River, Nam River, Miryang River)","Large(30m), Medium(5m), Small(1m)",2019,one-time,31 types of land cover,Satellite imagery analysis,Satellite imagery,GIS file,"Land use types (urban, agricultural, forest, grassland, wetland, etc.)",Used to analyze the current status of space and land use within the river zone and to create the latest updated land cover map using drones.,open,Used as a base for calculating land use area by sub-watershed.,60
Water Environment Information System Database,물환경정보시스템 수질-수량-수생태 종합정보,Not in source,DB_system,water_quality,National Institute of Environmental Research (NIER),public_portal,http://water.nier.go.kr/web,"Nakdong River mainstream (Deokgok, Namgang 7, Namji, Haman, Mulgeum)",Point measurement,2012–2022 (recent 10 years),Weekly/Monthly,5 major points in Nakdong mainstream,Automatic sensor and manual sampling,Not in source,CSV/Excel (link),"BOD, TP, Precipitation, Flow rate, Water level, Water temperature, Biological index (fish)","Used for comprehensive assessment of water quality, quantity, and aquatic ecology trends over the last 10 years.",open,Reference for target water quality standards achievement analysis.,60
Water Resources Management Information System,국가수자원관리종합정보시스템,WAMIS,DB_system,hydrological,Ministry of Environment / K-water,public_portal,WAMIS (system name),National (South Korea),Basin-scale,Not in source,Daily/Monthly/Annual,National water resource statistics,Sensor network and agency reporting,Not in source,Web service,"Precipitation, water level, flow rate, dam operation status",Referenced as a core system for data-driven scientific water management.,open,"Integrates groundwater, water supply, and river GIS data.",18
Misión La Paz Gauging Station Data,미시온 라 파즈 관측소 유량 데이터,Not in source,hydrological,streamflow,CTN / Salta Provincial Government,literature_cited,Not in source,"Misión La Paz, Salta, Argentina",Point measurement,1961–2017 (55 years),Monthly average,55 years of records,Water level station,Gauging station,Excel/Table,River discharge (m3/s),Used to analyze seasonal flow variability and drought patterns in the Salta region.,unclear,Critical for determining water availability in the dry season.,18
Digital Elevation Model,수치고도모델,DEM,geospatial,GIS,국토지리정보원,public_portal,NGIS,영천·대곡·사연댐 유역,5m x 5m,2015,one-time,"1:5,000",Not in source,Not in source,GIS shapefile,"고도, 지형학적 특성인자","유역 경계 추출, 소유역 분할 및 수질 모델(HSPF, AEM3D)의 지형 격자망 구축에 활용",open,BASINS Auto-delineation 기능 활용,61
Land Use/Land Cover,토지이용도 (토지피복도),LULC,geospatial,GIS,환경부 정보화담당관실,public_portal,EGIS (환경지리정보),영천·대곡·사연댐 유역,reach-scale,2013-2014,one-time,"1:25,000",Not in source,Not in source,GIS shapefile,"토지피복 분류(도시, 농경지, 임야 등)",유역별 토지이용 현황 분석 및 비점오염원 배출 부하량 산정의 기초자료로 활용,open,환경부 중분류 토지피복지도 기반,61
Meteorological Data,기상자료,KMA data,meteorological,rainfall,기상청,public_portal,기상자료개방포털,"영천, 울산 기상대",point measurement,2012–2020,"hourly, daily",Not in source,automatic sensor,Not in source,CSV (WDM database),"강수량, 기온, 이슬점온도, 일사량, 풍속, 전운량, 습도, 기압","수질 모델(HSPF, AEM3D)의 기상 경계 조건 입력자료로 활용",open,티센망 분석을 통한 영향권 설정,61
K-water Internal Dam Operation Data,K-water 댐 수문 및 운영 자료,SURIAN/RAWRIS,DB_system,hydrological,한국수자원공사,internal_DB,RAWRIS,영천·대곡·사연댐,reach-scale,2017–2020,daily,Not in source,automatic sensor,Not in source,CSV,"댐 유입량, 방류량, 저수위, 저수량, 취수량",수문 모델의 유량 검보정 및 호소 모델의 유출입 경계 조건으로 활용,internal_only,실시간 수문자료 수집,61
K-water Water Quality Monitoring Data,K-water 수질 계측 데이터,Not in source,water_quality,water_quality,K-water,internal_DB,팔당취수장 수질모니터링 설비,팔당3(취) ~ 화성(정) 구간,지점 계측,2023–2025,실시간 (Real-time),"탁도, pH 등 주요 인자",automatic sensor,"Algae Guard Analyzer, 수질측정기",Not in source,"탁도, pH, 전기전도도, 클로로필-a, 맛냄새 물질",주성분 분석(PCA) 수행 및 기계학습 기반 단기 수질 변동 예측 하이브리드 모델 구축,internal_only,정수장 유입수질 인공신경망 예측 프로그램 개발에 활용,21
Crisis Response Scenario Database,위기대응 사고 시나리오 DB,Not in source,model_output,other,K-water,model_generated,위기대응 시뮬레이터,수도권 광역상수도,관로 구간/격리 구역,Not in source,event-based,총 207개 사고 시나리오,model simulation,"Python-WNTR, EPANET",DB_system,"격리 구간, 피해 범위, 최적 비상연계 공급량, 복구 전략",수도 사고 발생 시 시뮬레이터 기반 최적 대응 방안 도출 및 과학적 의사결정 지원,internal_only,경험적 대응에서 과학적 대응 체계로의 전환을 위한 핵심 데이터셋,21
Emergency Shelter Data,전국 대피소 위치 정보,Not in source,administrative,GIS,행정안전부,public_portal,Data.go.kr (공공데이터포털),대한민국 전국,지점 (위경도 좌표),2019.07.09 공개 기준,연간 업데이트,행정안전부 표준 데이터,field_collection,Not in source,CSV,"대피소 명칭, 주소, 전화번호, 수용 가능 인원, 위도, 경도",증강현실(AR) 기반 수재해 정보 제공 서비스에서 사용자 현 위치 주변 대피소 정보 표출용,open,지진·해일 대피소 및 옥외 대피소 정보 포함,22
Agricultural Reservoir Management Data,농업용 저수지 관리 현황,Not in source,administrative,water level,Korea Rural Community Corporation,public_portal,Rural Water Resource Information System (RIMS),"National (17,106 reservoirs)",point measurement,2022 (status date),Real-time,"3,421 monitored reservoirs",automatic sensor,Automatic water level gauge,Not in source,"Water level, storage rate, discharge, specifications",위성 기반 분석 결과(저수율)의 검증 데이터로 활용,open,지자체 관리 저수지(약 1.3만개)는 계측 정보 부족함,43
Biological Habitat Environment (Fish and Benthos),생물학적 서식환경 조사 (동서종 및 먹이생물),Not in source,biological,ecology,K-water (한국수자원공사),field_collection,Not in source,"금강 본류, 미호강, 지천 복원지",Reach-scale (상·하류 100m),2024년 4월 – 10월,event-based,Hundreds of samples per site,manual_sampling,"투망, 족대, Surber-net, Hand-net, 해부현미경",Digital data,"어류 종수, 개체수, 우점도, 종다양도, 저서무척추동물 종수, 부착조류 종 구성비",복원종의 동서종 현황 및 먹이원 풍부도 파악,internal_only,국가생물종목록 참고,45
Radio Telemetry Tracking Data,이동추적 모니터링 자료 (Radio Tag),Not in source,field_measurement,ecology,K-water (한국수자원공사),field_collection,Not in source,금강 본류 방우리 일대,GPS coordinates,2024년 9월 – 10월,weekly (4회),10 individuals traced,automatic_sensor,"Radio receiver, Yagi antenna",Digital data (GPS),"주파수 신호, 이동 방향, 이동 거리",방류된 어름치 개체의 이동 및 분산 범위 파악,internal_only,NFT-6-1 발신기 사용,45
Real-time Multi-regional Leak Monitoring System Data,실시간 광역 누수감시 시스템 데이터,Not in source,DB_system,hydrological,K-water (한국수자원공사),internal_DB,SCADA / SSMS,"수도권 광역상수도 I, II 단계",Sensor points,"2015, 2019",1-min interval,Not in source,automatic_sensor,"Python, C#, C, SQL Server Management Studio (SSMS)",Digital data,"유입유량, 유량차, 유입압력차, Z-Score",정규화 및 AI 기반 누수 감시 알고리즘 검증 및 경보 시스템 구축,internal_only,SCADA D/B와 연계된 누수감시 시스템,62
Nakdong River Estuary Water Quality Data,낙동강 하구 수질 데이터,Not in source,field_measurement,water_quality,K-water (한국수자원공사),field_collection,Not in source,"낙동강 하구 하굿둑 상·하류 및 지류하천 (본류 18km, 지류 6km 범위)","Point measurement (총 20개 정점: 본류 8, 해양 7, 지류 5)",2023.04 ~ 2024.02,Monthly (총 12차 조사),20개 조사 정점,Field sampling and automatic sensor measurement,"DO meter (YSI 85), pH meter (Orion 230A), Conductivity meter (YSI 30), Secchi disc",Not in source,"수온, DO, pH, 영양염류(TN, TP, NH4-N, NO3-N, PO4-P), chl.a, 염분도, 투명도(탁도), TOC",하굿둑 상·하류 및 지류하천 구간의 수질 현황 모니터링 및 해수 유입에 따른 수환경 변화 분석,internal_only,K-water에서 직접 수행한 수질 조사 데이터임,63
Nakdong River Estuary Sediment Data,낙동강 하구 퇴적물 데이터,Not in source,field_measurement,sediment,K-water (한국수자원공사),field_collection,Not in source,낙동강 하구 본류 및 해양 구역 (St.1 ~ St.8),Point measurement (총 15개 정점),2023.04 ~ 2023.11,"Quarterly (총 4차 조사: 4월, 6월, 9월, 11월)",15개 조사 정점,Manual sampling using Van Veen grab,"Van Veen grab, TOC analyzer (Shimadzu TOC-L), ICP-MS (iCAP Q)",Not in source,"입도, 강열감량, TOC, TN, TP, 중금속(Al, As, Cd, Co, Cr, Cu, Fe, Li, Mn, Ni, Pb, Zn, Hg)",낙동강 하구 기수생태계 복원에 따른 퇴적물 오염도 및 성분 변화 분석,internal_only,해양 및 본류 정점에서 시료 채취 후 실험실 분석 수행,63
Aquatic Ecosystem Biota Data (Plankton/Benthos/Shellfish),"수생태계 생물상 데이터 (플랑크톤, 저서생물, 패류)",Not in source,biological,ecology,K-water (한국수자원공사),field_collection,Not in source,낙동강 하구 기수역 전반,Point measurement (수질 조사 정점과 연계),2023.04 ~ 2024.02,Monthly or Quarterly,다수의 생물 샘플 및 종 식별 데이터,"Net sampling (Plankton net, Surber net), Dredging (D-frame net)","Plankton net, Surber net, Microscope (Olympus CX-31, SZ-51)",Not in source,"종별 출현현황, 개체수, 생물다양성 지수(우점도, 다양도, 균등도, 풍부도)",기수역 조성에 따른 하구 생태계의 생물학적 변화상 모니터링,internal_only,"식물플랑크톤, 동물플랑크톤, 저서골격동물, 패류 포함",63
Fish Movement Monitoring Data (Radio Telemetry),어류 이동 경로 모니터링 데이터 (무선추적),Not in source,field_measurement,ecology,K-water (한국수자원공사),field_collection,Not in source,낙동강 하구 ~ 창녕함안보 (약 75km 구간),Reach-scale (14개 고정 수신기 지점),2023.11.06 ~ 2023.12.11,Event-based (수신기 자동 기록 및 능동 추적),16마리 개체 (연어) 태깅 데이터,Radio-tagging and acoustic telemetry (Passive/Active monitoring),"Ultrasonic Receiver (SUR), Radio-tags, GPS",Not in source,"위치(GPS 좌표), 이동 시간, 수신 강도, 개체별 전장(Total Length)",하굿둑 개방에 따른 연어 등 소하성 어류의 상류 이동 경로 및 거동 특성 분석,internal_only,연어 16마리에 Radio-tag를 삽입하여 모니터링 수행,63
Geum River Real-time Dam Flood Analysis AI Data,금강유역 실시간 댐 홍수분석 AI 데이터,Not in source,model_output,hydrological,K-water (한국수자원공사),internal_DB,Not in source,"금강유역 (용담댐, 대청댐 및 하류)","264개 강우관측소, 133개 유량관측소",2023.06 - 2024.12,"Hourly, Daily",용담/대청댐 상하류 관측망 전체,Automatic sensors & AI modeling,"LSTM, GRU AI Models",Not in source,"강수량, 온도, 상대습도, 기압, 풍속, 유입량, 방류량, 하류 수위","AI 기반 댐 하류 수위 및 유량 예측기술 개발, 댐 운영 시 방류량 의사결정 지원",internal_only,금강유역을 대상으로 개발되었으며 향후 전국 확대 예정,23
Nakdong River Estuary Water Environment Monitoring Data,낙동강하구 수환경 모니터링 데이터,Not in source,field_measurement,biological,K-water (한국수자원공사),field_collection,Not in source,낙동강 하구 (기수역 일원),7개 분야별 조사지점,2021 - 2024,정기/정밀 모니터링,"수질, 퇴적물, 생물상(어류, 식생 등) 전반","현장 샘플링, eDNA, 안정동위원소 분석","ROV, eDNA Analysis, SCUBA",Not in source,"염분, TOC, BOD, NH4-N, 저서생물 종조성, 어류 회유 특성(연어, 실뱀장어)",하굿둑 해수유입 운영에 따른 기수생태계 복원 효과 평가 및 관리방안 수립,internal_only,환경부 역무대행 사업인 ‘낙동강하구 기수생태계 복원 및 관리사업’의 일환,23
Multi-regional Water Supply Pipe Burst Monitoring System Data,광역상수도 관로사고 감시시스템 데이터,Not in source,field_measurement,hydrological,K-water (한국수자원공사),internal_DB,Not in source,수도권 광역상수도 8개 구역 등,관로 구간별 센서,2020 - 2025,1~5분 주기 (Real-time),207개 사고 시나리오 DB 포함,"SCADA, AMI, 자동 센서","EPANET, Python-WNTR, AI 사고감지 모델",Not in source,"유량, 수압, 손실수두, 수질(탁도, pH, EC)","디지털 트윈 기반 관로 사고(누수, 파손) 조기 탐지 및 최적 비상연계 대응 방안 도출",internal_only,Twater-NET 디지털 테스트베드 플랫폼 구축의 핵심 데이터,23
K-water Internal Maintenance Data,수도시설 통합관리권역 K-water 내부자료,Not in source,DB_system,hydrological,K-water (Korea Water Resources Corporation),internal_DB,K-water internal system,National,Regional waterworks facility level,2018-2019,Not in source,40 regional integration zones,automatic sensor/SCADA,"SCADA, GIS, WIIS",Not in source,"Regional water supply capacity, facility integration zones, modernization project progress",Used to refine the 40 proposed water facility integration zones.,internal_only,Includes confidential modernization project data.,24
Algal Bloom Warning Status Data,조류경보제 운영 현황 자료,Not in source,water_quality,water_quality,Ministry of Environment (환경부),public_portal,Water Environment Information System (물환경정보시스템),"Four major river basins (Han, Geum, Yeongsan, Nakdong)",28 monitoring points,2013-2018,daily (during alert period),28 points,field_measurement,Not in source,Not in source,"Number of warning days, harmful cyanobacteria cell count",Used to analyze water supply vulnerability due to climate change and heatwaves.,open,Increasing trend of bloom days noted between 2013-2017.,24
Japanese Waterworks Guideline (JWWA Q100),일본 수도사업 가이드라인 업무지표,JWWA Q100,literature,other,Japan Water Works Association (JWWA),literature_cited,Not in source,Japan,Enterprise level,2016 Revision,Not in source,119 indicators,literature,Not in source,Document,"Water quality, supply stability, financial sustainability",Benchmarked for developing K-water's integration performance indicators.,open,Standard for Japanese water utility assessment.,24
Nakdong River Estuary Water Environment Regular Monitoring Data,낙동강하구 수환경 정기 모니터링 자료,Not in source,field_measurement,hydrological,K-water (한국수자원공단 부산권지사),field_collection,Not in source,낙동강하굿둑 상·하류 본류(ST-1 ~ ST-8) 및 지류하천 7개 지점,point measurement (지점별 수심별 측정),2024.05.21 ~ 2024.12.05,"monthly (월 1회, 총 10회)","본류 8개 지점, 지류 7개 지점 (15개 정점)","automatic sensor, manual sampling","Aqua TROLL-500, Secchi disk, Niskin sampler, Ponar grab, Surber Net, Dredge sampler, 형망",Not in source,"수온, 염분, pH, DO, EC, 탁도, 투명도, BOD, TOC, Chl-a, TN, TP, 영양염류, 퇴적물(입도, 금속류), 플랑크톤 현존량, 패류/저서생물/어류/식생 출현종 및 개체수",낙동강 하굿둑 해수유입 운영에 따른 기수환경 변화 및 수생태계 복원 성과 확인을 위한 기초 자료로 활용,internal_only,환경부 역무대행 사업의 일환으로 K-water에서 수행한 모니터링 데이터임,47
"Nakdong River Estuary Precise Monitoring Data (eDNA, Stable Isotope, etc.)","낙동강하구 정밀 모니터링 자료 (eDNA, 안정동위원소 등)",Not in source,lab_analysis,ecology,K-water & (주)지오시스템리서치 등 위탁기관,field_collection,Not in source,"낙동강하구 본류 및 지류, 합류부",point measurement,2024 (춘계/추계 등),event-based (연 2~5회),"eDNA 7개 지점, 안정동위원소 4개 지점 등",manual sampling & laboratory analysis,"Illumina i-seq/Miniseq, EA-IRMS, GC-IRMS, ICP-MS",Not in source,"eDNA(어류/미생물 종조성), 안정동위원소비(δ13C, δ15N), 아미노산 질소 안정동위원소비, 퇴적물 용출 특성(SOD, BNF, BMF)","최신 분석 기술을 도입하여 기수 지표종 및 회유성 어종의 이동 패턴, 먹이망 구조 및 퇴적물 용출 영향 정밀 분석",internal_only,eDNA 및 안정동위원소 분석을 통해 전통적 조사의 한계를 보완함,47
Salmon Tracking Data using Acoustic Tags,초음파 발신기를 이용한 연어 회귀경로 추적 자료,Not in source,field_measurement,ecology,K-water & 한국수산자원공단 (FIRA) 협업,field_collection,Not in source,낙동강하구 ~ 창녕함안보 상류 (약 75km 구간),reach-scale (14개 수신기 설치 지점),2024.11.07 ~ 2024.12.04,event-based (6회 추적 조사),"연어 18개체 방류, 수신기 14개소",automatic sensor (Acoustic tag & Receiver),"Submersible Ultrasonic Receiver (SUR), Acoustic Tag",Not in source,"이동 경로, 이동 거리, 위치 신호, 개체별 성별/전장/무게",낙동강 하구로 회귀하는 연어의 상류 소상 경로 및 지류 유입 여부 파악,internal_only,한국수산자원공단 동해생명자원센터 협업 데이터,47
K-water Reservoir Model (AEM3D),K-water 보유 저수지모형 (AEM3D),AEM3D,model_output,water_quality,K-water,internal_DB,Not in source,8개 댐 저수지 구역,3D Grid (격자 기반),2020년 및 미래 기후변화 시나리오 기간,Not in source,8개 댐 대상,model simulation,AEM3D (Aquatic EcoDynamics Model 3D),Not in source,"수위, 수온, 탁도, 부유물질 (SS)","댐 내 탁수 거동 모의, 선택취수 및 구조적 저감대책 효과 분석",internal_only,기존 CE-QUAL-W2를 대체하거나 병행하여 사용되는 K-water 저수지 모형,25
Soyang Lake Non-point Source Pollution Management Area Monitoring,소양호 상류 비점오염원 관리지역 모니터링,Not in source,field_measurement,water_quality,원주지방환경청,literature_cited,Not in source,"만대천, 성황천 등 만대지구 하천",지점 측정,2009–2018,정기(청천시) 및 강우시,"BOD, COD, SS, T-N, T-P 등 5개 항목 이상",현장 채수 및 유량 측정,Not in source,보고서 수록 표,"유량, BOD, COD, SS, T-N, T-P",만대지구 내 하천별 수질 현황 파악 및 강우시 EMC 산정의 기초 자료로 활용,open,비강우시와 강우시를 구분하여 측정됨,26
Heuktoram Soil Statistics,흙토람 토양 통계 정보,Not in source,DB_system,soil moisture,농촌진흥청,public_portal,흙토람,만대지구 (행정동리 기준),정밀 토양도,2000년 구축,one-time,통계 및 도면 데이터,Not in source,Not in source,GIS shapefile,"표토토성, 모암",만대지구 지질 및 토양 특성 분석 및 SWAT 모델 입력,open,"사양토 68.4%, 양토 31.1% 등의 분포 분석",26
Water Quality Monitoring at Mulgol-gyo,물골교 지점 수질 모니터링 자료,Not in source,field_measurement,water_quality,원주지방환경청,internal_DB,Not in source,만대천 최하류 (물골교 지점),지점 측정,2017–2022,monthly,6년간 유량 및 SS 농도 자료,manual sampling,Not in source,csv/xls,"유량, SS, SS EMC, SS 부하량",현재 수질 오염 실태 분석 및 SWAT 모델 검보정의 실측치로 활용,internal_only,만대지구 말단 지점의 핵심 수질 데이터,26
Gohyeoncheon Field Survey Data,고현천 현지조사 데이터,Not in source,field_measurement,hydrological,K-water Nakdonggang River Management Department,field_collection,Not in source,Gohyeoncheon stream (10 points),Point measurement,2019.09 - 2020.05,3 rounds (seasonal),10 points (Wa.1 to Wa.10),Manual sampling and field sensor measurement,"pH Meter, DO Meter, BOD Incubator, UV/Visible Spectrometer",Not in source,"Water temperature, Flow rate, DO, pH, Conductivity, SS, BOD, COD, T-N, T-P, Chl-a, depth, velocity",Primary data used to evaluate current water quality and environmental characteristics.,internal_only,Primary collected data for this research report.,48
Aquatic Ecosystem Health Survey,수생태계 건강성 조사 데이터,Not in source,field_measurement,biological,K-water (K-water/Koentech),field_collection,Not in source,Gohyeoncheon stream (10 points),Reach-scale (200m per point),2019.09 - 2020.05,2 rounds (Pre/Post-monsoon),10 survey points,"Suber sampler, Dredge, Cast net (7x7mm), Kick net (5x5mm)","Suber sampler, Cast net, Kick net, GPS",Not in source,"Species composition of attached diatoms, benthic macroinvertebrates, and fish","Used to calculate TDI, BMI, and FAI to assess stream health.",internal_only,Followed Ministry of Environment's aquatic ecosystem survey guidelines.,48
Gohyeoncheon Transverse Structure Survey,고현천 횡구조물 조사,Not in source,field_measurement,GIS,K-water / Busan Regional Office of Construction and Management,field_collection,Not in source,Gohyeoncheon stream,Site-specific,2019.09 - 2019.10,One-time,31 transverse structures (weirs),Visual inspection and field measurement,"GPS, Distance measuring device",Not in source,"Weir dimensions (length, height), location (coordinates), water usage status, fishway presence",Analyzed connectivity and proposed weir improvements (removal or fishway installation).,internal_only,Includes 27 existing weirs and 4 additional ones found.,48
National Statistics and Administrative Data,국가통계 및 행정자료,Not in source,administrative,ecology,"Yeongcheon City, Ministry of Environment",literature_cited,"Yeongcheon Statistical Yearbook, EIASS",Yeongcheon-si,Regional,2010-2019,Annual,Not in source,Administrative reporting,Not in source,Paper/Digital form,"Livestock status, sewage statistics, environmental impact assessment history",Used for watershed environment analysis and source tracing.,open,Secondary data used for background context.,48
Ecological Bank,에코뱅크,Eco-Bank,DB_system,ecology,국립생태원,public_portal,http://www.nie-ecobank.kr,영산강·섬진강 대권역,GIS layer,Not in source,Periodic,119개 습지 정보,field_measurement,Not in source,Not in source,"습지 분포, 습지보호지역 위치, 동식물 생태 정보",우수 습지생태계 보전 및 생태계거점 보전관리방안 수립,open,"정읍 월영습지, 순천 동천하구 등 습지 분포도 제공",4
K-water Satellite Information Management System,K-water 위성영상 관리시스템,K-SIMS,remote_sensing,satellite imagery,K-water,internal_DB,http://ksims.kwater.or.kr,영산강·섬진강 유역,Not in source,2021년 기준,Periodic,Not in source,satellite,Not in source,Imagery (GIS),"수문인자, 가뭄지수, 접경댐수위, 수질감시, 하구연안, 하천경관",주암댐 상류 등 시범사업 대상지의 지형 및 토지이용 상태 확인,internal_only,위성영상 검색 및 산출물 현황 조회 기능 포함,4
Climate Crisis Perception Survey,기후위기 인식 및 노출 정도 설문조사,Not in source,survey,social_perception,K-water (한국수자원공사),field_collection,Not in source,national,individual_level,2021.09,one-time,"일반인 500명, K-water 내부 구성원 386명",questionnaire (Web and Paper),SPSS Statistics,Not in source,"기후위기 인지도, 심각성 인지, 역할 인식, 노출 정도, 상호지향성 지표",일반 국민과 공사 내부 구성원 간의 기후위기 인식 차이를 분석(상호지향성 분석)하기 위해 직접 수집됨,internal_only,7점 척도를 활용한 정량 분석 데이터,49
All-range Microwave Water Surface Current Meter Field Data,평갈수용 전자파표면유속계 측정 데이터,AMWSCM,field_measurement,streamflow,K-water,field_collection,Not in source,"Yongdam Dam Watershed, Cheoncheon Site",Point measurement,,event-based (15:10 measurement referenced),Not in source,manual sampling (portable device),AMWSCM (Electronic Surface Velocimeter),Not in source,"Surface velocity, discharge",Referenced historical measurement results to update uncertainty calculation methods from ISO 748 (1997) to (2007) standards.,internal_only,Portable velocimeter developed by K-water in 1999/2010.,50
