data_name,data_name_kr,acronym,dtype,category,org,access,spatial,temporal,temporal_res,volume,instruments,params,fmt,usage,availability,notes,freq,reuse,priority,report_list
National Algae Monitoring Results,조류경보 발령 현황 및 수질측정 데이터,N/A,water_quality,ecology,Ministry of Environment / NIER,public_portal,"Daecheong Reservoir, Geum River",2017–2018,Weekly/Monthly,"Multiple monitoring stations (Chudong, Munui, etc.)",Not in source,"Chlorophyll-a, Harmful cyanobacteria cell count, T-N, T-P, TOC, DO, Water temperature",Digital data,Used for calibration and verification of the AEM3D water quality model for Daecheong Dam.,open,Accessed via the Water Environment Information System.,1,Low,Optional,수질을 고려한 대청댐 운영 고도화 방안 시범 연구_2022.02.14_대청댐 운영고도화.pdf.pdf
Rural Water Resources Information System,농촌용수종합정보시스템,RAIRIS (농어촌알리미),DB_system,"agricultural water, reservoir",Korea Rural Community Corporation,public_portal,National agricultural districts,Not in source,Daily,296 reservoirs (Yeong-Seom basin),Not in source,"저수율, 유효저수량, 저수위, 농업용수 공급량",Numeric data,농업용수 공급량 산정 및 가뭄 모니터링 자료로 활용,open,한국농어촌공사 관리 시설물의 실시간 데이터,1,Low,Optional,물정보기반 물수급 체계 구축 및 수문전망 기술 (한강·영섬권역)_2021.02.10_물정보기반 물수급 체계.pdf.pdf
Yeongsan and Seomjin River Basin Pollutant Outlook Data,영산강·섬진강 대권역 오염원 전망,N/A,model_output,administrative,영산강·섬진강수계관리위원회 / 한국수자원공사,literature_cited,영산강·섬진강 대권역,2014–2025,연간 데이터(전망치),"인구, 소/돼지 사육두수, 폐수발생량 등 7개 지표",영산강·섬진강 대권역 물환경관리계획(2016~2025),"인구, 소 사육두수, 돼지 사육두수, 폐수발생량, 폐수배출량, 임야 면적, 대지 면적",Table,기금운용 계획 수립을 위한 유역 관리 여건 분석 및 오염원 전망 도출에 활용,unclear,제2차 물환경관리 기본계획 및 대권역 계획을 근거로 함,1,Low,Optional,영산강·섬진강수계관리기금 중장기(‘21~‘25) 운용계획 수립_2021.02.05_영산강 섬진강 수계관리기금.pdf.pdf
Water System Fund Management Status DB,수계기금 운용현황 데이터,N/A,administrative,administrative,영산강·섬진강수계관리위원회,internal_DB,영산강·섬진강 수계,2002–2019,연간 집계,약 1.3조 원 규모의 세입/세출 데이터,수계기금 결산 및 운용 실적 DB,"물이용부담금 수입, 가산금, 기타재산수입, 사업별 지출(주민지원, 환경기초시설 등)",CSV/Excel,과거 기금 조성 및 집행 내역 분석을 통한 중장기 운용계획 수립의 기초 자료,internal_only,K-water 및 수계관리위원회 내부 관리 데이터,1,Low,Optional,영산강·섬진강수계관리기금 중장기(‘21~‘25) 운용계획 수립_2021.02.05_영산강 섬진강 수계관리기금.pdf.pdf
Water System Fund Operational Performance Evaluation,수계관리기금 운용성과 평가 결과,N/A,administrative,administrative,"기획재정부, 환경부, 영산강·섬진강수계관리위원회",internal_DB,영산강·섬진강 수계,2015–2019,연간,5개년 평점 및 등급,"재정사업 자율평가, 기금 존치평가","사업별 목표달성률, 종합평점, 평가등급(우수, 보통, 미흡)",Paper form/Report,기금운용의 효율성 진단 및 성과 목표(2024년까지) 설정 근거로 활용,restricted,정부 합동 평가 결과 및 자체 성과 지표 포함,1,Low,Optional,영산강·섬진강수계관리기금 중장기(‘21~‘25) 운용계획 수립_2021.02.05_영산강 섬진강 수계관리기금.pdf.pdf
Yeongsan/Seomjin River Basin Public Opinion Survey,수계기금 운용 관련 담당 공무원 설문 및 FGI 결과,N/A,survey,administrative,한국수자원공사 (연구진),field_collection,"광주광역시, 전라북도, 전라남도 (28개 시군구)",2020.03.16–2020.03.27,one-time,"3개 시도, 28개 시군구 담당 공무원 및 시민단체(3개)","설문지, FGI 면담 가이드","기금 사업별 증액 필요성, 토지매수 사업에 대한 견해, 유역별 수질개선 요구사항",Qualitative description,현장의 요구사항을 반영한 기금 투자 우선순위 선정 및 신규 사업 발굴에 활용,internal_only,사업비 비중 조정에 대한 지자체별/시민단체별 이해관계 데이터 포함,1,Low,Optional,영산강·섬진강수계관리기금 중장기(‘21~‘25) 운용계획 수립_2021.02.05_영산강 섬진강 수계관리기금.pdf.pdf
Yeongsan/Seomjin River Basin Target Water Quality Standards,중권역별 수질 및 수생태계 목표기준,N/A,administrative,water_quality,환경부,public_portal,영산강·섬진강 수계 중권역,2016–2025 (제2차 물환경관리 기본계획),Not in source,전 수계 주요 지점별 목표 수질,제2차 물환경관리 기본계획,"COD, BOD, T-P 등 목표 등급(좋음 Ib 이상)",literature,기금 운용의 최종적인 수질 개선 목표치 설정의 근거로 사용,open,고시된 법적 기준치 데이터,1,Low,Optional,영산강·섬진강수계관리기금 중장기(‘21~‘25) 운용계획 수립_2021.02.05_영산강 섬진강 수계관리기금.pdf.pdf
Water Environment Information System Water Quality Data,물환경정보시스템 수질자료,NEIS (inferred),field_measurement,water_quality,환경부,public_portal,"영천댐, 대곡댐, 사연댐 내 측정지점",2015-2019,월별 (monthly),5개년 자료,Not in source,"pH, DO, BOD, COD, TOC, SS, 총대장균군, T-N, T-P, Chl-a",Not in source,"댐 호소수질 현황 분석, 목표수질 달성여부 검토, 수질모델 보정용 관측값으로 사용",open,호소내 수질 및 수생태계 환경기준(2020.12.9 기준) 적용,1,Low,Optional,댐 유역(영천·대곡·사연댐) 물환경관리 종합대책 수립 연구_2021.02.05_댐 유역 물환경관리 종합대책.pdf.pdf
KMA Meteorological Data Open Portal,기상자료개방포탈 기상자료,N/A,meteorological,"rainfall, temperature, etc.",기상청 (KMA),public_portal,"영천기상대, 울산기상대",2010-2019,월별/연별,최근 10년간 자료,Thiessen망 분석법,"기온(평균, 최고, 최저), 강수량, 풍속, 상대습도, 일조시간",Not in source,"유역별 기상 및 강우특성 분석, 수질모델(HSPF)의 기상 입력자료로 활용",open,Thiessen망 분석을 통해 댐 유역 기상자료 조사 수행,1,Low,Optional,댐 유역(영천·대곡·사연댐) 물환경관리 종합대책 수립 연구_2021.02.05_댐 유역 물환경관리 종합대책.pdf.pdf
Multi-purpose Dam Floating Debris Statistics,다목적댐 부유물 발생 현황 데이터,N/A,administrative,Floating debris volume,K-water (한국수자원공사),internal_DB,"National (10 major multi-purpose dams in Korea including Chungju, Daecheong, Andong dams)",2017 – 2021,yearly,"30,000 tons or more (as of 2023)",Not in source,"Annual debris volume by dam, debris composition (wood, grass, domestic waste, recyclables)",Statistics report,국내 댐 부유물 발생 현황 분석 및 자원화 방안의 경제성 평가 기초 자료로 활용,open,집중호우 및 태풍 시기 발생량이 급증하는 특성이 반영됨,1,Low,Optional,댐·보 부유물의 자원화 최적방안 연구용역_2025.02.10_댐·보 부유물의 자원화 최적방안 연구용역.pdf.pdf
Livestock Manure Generation and Treatment Statistics,가축분뇨 발생 및 처리 현황,N/A,administrative,Livestock waste,National Institute of Environmental Research (국립환경과학원),public_portal,"National (major river basins: Han, Nakdong, Geum, Yeongsan rivers)",2019 – 2022,yearly,48 million tons (as of 2023),Not in source,"Number of livestock (cattle, pigs, poultry), manure volume by animal type and basin, treatment method ratio (compost, liquid fertilizer, etc.)",Digital statistics,"유기성 폐자원 통합 자원화 모델(바이오차, 고형연료) 설계를 위한 유입 부하량 산정에 활용",open,국립환경과학원의 유역별 발생량 통계 자료를 인용함,1,Low,Optional,댐·보 부유물의 자원화 최적방안 연구용역_2025.02.10_댐·보 부유물의 자원화 최적방안 연구용역.pdf.pdf
Floating Debris Physical and Chemical Analysis Data,부유물 성상 및 원소 분석 데이터,N/A,lab_analysis,Biomass properties,Chonbuk National University (전북대학교 산학협력단),field_collection,"Daecheong, Chungju, Andong, Namgang, Seomjingang dams",2024.06.17 - 2024.07.03,one-time,Not in source,"Drying oven (HB-501M), FTIR, Elemental analyzer","Moisture content, Calorific value (kcal/kg), Elemental composition (C, H, O, N, S), Heavy metals (Hg, Cd, Pb, As, Cr)",Test report (시험성적서),부유물 원료 및 생산된 바이오차의 품질을 분석하여 비료 공정 규격 및 고형연료 제품 기준 준수 여부 확인,internal_only,초본류와 목본류 부유물을 구분하여 분석함,1,Low,Optional,댐·보 부유물의 자원화 최적방안 연구용역_2025.02.10_댐·보 부유물의 자원화 최적방안 연구용역.pdf.pdf
Land Cover Map 2019,2019년 토지피복도,N/A,geospatial,GIS,Ministry of Environment,public_portal,"Nakdong River Basin (Mainstream, Hwang River, Nam River, Miryang River)",2019,one-time,31 types of land cover,Satellite imagery,"Land use types (urban, agricultural, forest, grassland, wetland, etc.)",GIS file,Used to analyze the current status of space and land use within the river zone and to create the latest updated land cover map using drones.,open,Used as a base for calculating land use area by sub-watershed.,1,Low,Optional,낙동강수계 수질개선을 위한 하천구역 홍수터 수변완충기능 증진방안 연구_2023.02.13_낙동강수계 수질개선을 위한 하천구역 홍수터 수변완충기능 증진방안 연구.pdf.pdf
Water Environment Information System Database,물환경정보시스템 수질-수량-수생태 종합정보,N/A,DB_system,water_quality,National Institute of Environmental Research (NIER),public_portal,"Nakdong River mainstream (Deokgok, Namgang 7, Namji, Haman, Mulgeum)",2012–2022 (recent 10 years),Weekly/Monthly,5 major points in Nakdong mainstream,Not in source,"BOD, TP, Precipitation, Flow rate, Water level, Water temperature, Biological index (fish)",CSV/Excel (link),"Used for comprehensive assessment of water quality, quantity, and aquatic ecology trends over the last 10 years.",open,Reference for target water quality standards achievement analysis.,1,Low,Optional,낙동강수계 수질개선을 위한 하천구역 홍수터 수변완충기능 증진방안 연구_2023.02.13_낙동강수계 수질개선을 위한 하천구역 홍수터 수변완충기능 증진방안 연구.pdf.pdf
Misión La Paz Gauging Station Data,미시온 라 파즈 관측소 유량 데이터,N/A,hydrological,streamflow,CTN / Salta Provincial Government,literature_cited,"Misión La Paz, Salta, Argentina",1961–2017 (55 years),Monthly average,55 years of records,Gauging station,River discharge (m3/s),Excel/Table,Used to analyze seasonal flow variability and drought patterns in the Salta region.,unclear,Critical for determining water availability in the dry season.,1,Low,Optional,아르헨티나 필코마요강 유역의 수자원관리 투자 계획 수립_2024.02.13_아르헨티나 필코마요강 유역의 수자원관리 투자 계획 수립.pdf.pdf
Land Use/Land Cover,토지이용도 (토지피복도),LULC,geospatial,GIS,환경부 정보화담당관실,public_portal,영천·대곡·사연댐 유역,2013-2014,one-time,"1:25,000",Not in source,"토지피복 분류(도시, 농경지, 임야 등)",GIS shapefile,유역별 토지이용 현황 분석 및 비점오염원 배출 부하량 산정의 기초자료로 활용,open,환경부 중분류 토지피복지도 기반,1,Low,Optional,댐 유역(영천·대곡·사연댐) 물환경관리 종합대책 수립 연구_2022.02.14_댐유역 물환경관리.pdf.pdf
K-water Internal Dam Operation Data,K-water 댐 수문 및 운영 자료,SURIAN/RAWRIS,DB_system,hydrological,한국수자원공사,internal_DB,영천·대곡·사연댐,2017–2020,daily,Not in source,Not in source,"댐 유입량, 방류량, 저수위, 저수량, 취수량",CSV,수문 모델의 유량 검보정 및 호소 모델의 유출입 경계 조건으로 활용,internal_only,실시간 수문자료 수집,1,Low,Optional,댐 유역(영천·대곡·사연댐) 물환경관리 종합대책 수립 연구_2022.02.14_댐유역 물환경관리.pdf.pdf
K-water Water Quality Monitoring Data,K-water 수질 계측 데이터,N/A,water_quality,water_quality,K-water,internal_DB,팔당3(취) ~ 화성(정) 구간,2023–2025,실시간 (Real-time),"탁도, pH 등 주요 인자","Algae Guard Analyzer, 수질측정기","탁도, pH, 전기전도도, 클로로필-a, 맛냄새 물질",Not in source,주성분 분석(PCA) 수행 및 기계학습 기반 단기 수질 변동 예측 하이브리드 모델 구축,internal_only,정수장 유입수질 인공신경망 예측 프로그램 개발에 활용,1,Low,Optional,광역상수도 프로세스 디지털 트윈 시스템 개발(Ⅰ) 취수-정수(alio).pdf
Crisis Response Scenario Database,위기대응 사고 시나리오 DB,N/A,model_output,other,K-water,model_generated,수도권 광역상수도,Not in source,event-based,총 207개 사고 시나리오,"Python-WNTR, EPANET","격리 구간, 피해 범위, 최적 비상연계 공급량, 복구 전략",DB_system,수도 사고 발생 시 시뮬레이터 기반 최적 대응 방안 도출 및 과학적 의사결정 지원,internal_only,경험적 대응에서 과학적 대응 체계로의 전환을 위한 핵심 데이터셋,1,Low,Optional,광역상수도 프로세스 디지털 트윈 시스템 개발(Ⅰ) 취수-정수(alio).pdf
Emergency Shelter Data,전국 대피소 위치 정보,N/A,administrative,GIS,행정안전부,public_portal,대한민국 전국,2019.07.09 공개 기준,연간 업데이트,행정안전부 표준 데이터,Not in source,"대피소 명칭, 주소, 전화번호, 수용 가능 인원, 위도, 경도",CSV,증강현실(AR) 기반 수재해 정보 제공 서비스에서 사용자 현 위치 주변 대피소 정보 표출용,open,지진·해일 대피소 및 옥외 대피소 정보 포함,1,Low,Optional,국토관측센서 기반 수문 및 수재해 정보포털시스템 개발_2020.02.27_국토관측센서기.pdf.pdf
Agricultural Reservoir Management Data,농업용 저수지 관리 현황,N/A,administrative,water level,Korea Rural Community Corporation,public_portal,"National (17,106 reservoirs)",2022 (status date),Real-time,"3,421 monitored reservoirs",Automatic water level gauge,"Water level, storage rate, discharge, specifications",Not in source,위성 기반 분석 결과(저수율)의 검증 데이터로 활용,open,지자체 관리 저수지(약 1.3만개)는 계측 정보 부족함,1,Low,Optional,공간정보 빅데이터를 활용한 가뭄 예·경보 분석기술 개발(2024년)_2025.02.10_공간정보 빅데이터를 활용한 가뭄 예·경보 분석기술 개발(2024년).pdf.pdf
Biological Habitat Environment (Fish and Benthos),생물학적 서식환경 조사 (동서종 및 먹이생물),N/A,biological,ecology,K-water (한국수자원공사),field_collection,"금강 본류, 미호강, 지천 복원지",2024년 4월 – 10월,event-based,Hundreds of samples per site,"투망, 족대, Surber-net, Hand-net, 해부현미경","어류 종수, 개체수, 우점도, 종다양도, 저서무척추동물 종수, 부착조류 종 구성비",Digital data,복원종의 동서종 현황 및 먹이원 풍부도 파악,internal_only,국가생물종목록 참고,1,Low,Optional,__금강수계 생명잇기를 위한 멸종위기어류 복원 용역(3차년도).pdf.pdf
Radio Telemetry Tracking Data,이동추적 모니터링 자료 (Radio Tag),N/A,field_measurement,ecology,K-water (한국수자원공사),field_collection,금강 본류 방우리 일대,2024년 9월 – 10월,weekly (4회),10 individuals traced,"Radio receiver, Yagi antenna","주파수 신호, 이동 방향, 이동 거리",Digital data (GPS),방류된 어름치 개체의 이동 및 분산 범위 파악,internal_only,NFT-6-1 발신기 사용,1,Low,Optional,__금강수계 생명잇기를 위한 멸종위기어류 복원 용역(3차년도).pdf.pdf
Real-time Multi-regional Leak Monitoring System Data,실시간 광역 누수감시 시스템 데이터,N/A,DB_system,hydrological,K-water (한국수자원공사),internal_DB,"수도권 광역상수도 I, II 단계","2015, 2019",1-min interval,Not in source,"Python, C#, C, SQL Server Management Studio (SSMS)","유입유량, 유량차, 유입압력차, Z-Score",Digital data,정규화 및 AI 기반 누수 감시 알고리즘 검증 및 경보 시스템 구축,internal_only,SCADA D/B와 연계된 누수감시 시스템,1,Low,Optional,광역상수도 중대규모 관로사고 감시시스템 개발_2021.02.05_광역상수도 중대규모 관로사고.pdf.pdf
Nakdong River Estuary Water Quality Data,낙동강 하구 수질 데이터,N/A,field_measurement,water_quality,K-water (한국수자원공사),field_collection,"낙동강 하구 하굿둑 상·하류 및 지류하천 (본류 18km, 지류 6km 범위)",2023.04 ~ 2024.02,Monthly (총 12차 조사),20개 조사 정점,"DO meter (YSI 85), pH meter (Orion 230A), Conductivity meter (YSI 30), Secchi disc","수온, DO, pH, 영양염류(TN, TP, NH4-N, NO3-N, PO4-P), chl.a, 염분도, 투명도(탁도), TOC",Not in source,하굿둑 상·하류 및 지류하천 구간의 수질 현황 모니터링 및 해수 유입에 따른 수환경 변화 분석,internal_only,K-water에서 직접 수행한 수질 조사 데이터임,1,Low,Optional,낙동강하구 기수생태계 복원 수환경 모니터링_2025.02.10_낙동강하구 기수생태계 복원 수환경 모니터링.pdf.pdf
Nakdong River Estuary Sediment Data,낙동강 하구 퇴적물 데이터,N/A,field_measurement,sediment,K-water (한국수자원공사),field_collection,낙동강 하구 본류 및 해양 구역 (St.1 ~ St.8),2023.04 ~ 2023.11,"Quarterly (총 4차 조사: 4월, 6월, 9월, 11월)",15개 조사 정점,"Van Veen grab, TOC analyzer (Shimadzu TOC-L), ICP-MS (iCAP Q)","입도, 강열감량, TOC, TN, TP, 중금속(Al, As, Cd, Co, Cr, Cu, Fe, Li, Mn, Ni, Pb, Zn, Hg)",Not in source,낙동강 하구 기수생태계 복원에 따른 퇴적물 오염도 및 성분 변화 분석,internal_only,해양 및 본류 정점에서 시료 채취 후 실험실 분석 수행,1,Low,Optional,낙동강하구 기수생태계 복원 수환경 모니터링_2025.02.10_낙동강하구 기수생태계 복원 수환경 모니터링.pdf.pdf
Aquatic Ecosystem Biota Data (Plankton/Benthos/Shellfish),"수생태계 생물상 데이터 (플랑크톤, 저서생물, 패류)",N/A,biological,ecology,K-water (한국수자원공사),field_collection,낙동강 하구 기수역 전반,2023.04 ~ 2024.02,Monthly or Quarterly,다수의 생물 샘플 및 종 식별 데이터,"Plankton net, Surber net, Microscope (Olympus CX-31, SZ-51)","종별 출현현황, 개체수, 생물다양성 지수(우점도, 다양도, 균등도, 풍부도)",Not in source,기수역 조성에 따른 하구 생태계의 생물학적 변화상 모니터링,internal_only,"식물플랑크톤, 동물플랑크톤, 저서골격동물, 패류 포함",1,Low,Optional,낙동강하구 기수생태계 복원 수환경 모니터링_2025.02.10_낙동강하구 기수생태계 복원 수환경 모니터링.pdf.pdf
Fish Movement Monitoring Data (Radio Telemetry),어류 이동 경로 모니터링 데이터 (무선추적),N/A,field_measurement,ecology,K-water (한국수자원공사),field_collection,낙동강 하구 ~ 창녕함안보 (약 75km 구간),2023.11.06 ~ 2023.12.11,Event-based (수신기 자동 기록 및 능동 추적),16마리 개체 (연어) 태깅 데이터,"Ultrasonic Receiver (SUR), Radio-tags, GPS","위치(GPS 좌표), 이동 시간, 수신 강도, 개체별 전장(Total Length)",Not in source,하굿둑 개방에 따른 연어 등 소하성 어류의 상류 이동 경로 및 거동 특성 분석,internal_only,연어 16마리에 Radio-tag를 삽입하여 모니터링 수행,1,Low,Optional,낙동강하구 기수생태계 복원 수환경 모니터링_2025.02.10_낙동강하구 기수생태계 복원 수환경 모니터링.pdf.pdf
Geum River Real-time Dam Flood Analysis AI Data,금강유역 실시간 댐 홍수분석 AI 데이터,N/A,model_output,hydrological,K-water (한국수자원공사),internal_DB,"금강유역 (용담댐, 대청댐 및 하류)",2023.06 - 2024.12,"Hourly, Daily",용담/대청댐 상하류 관측망 전체,"LSTM, GRU AI Models","강수량, 온도, 상대습도, 기압, 풍속, 유입량, 방류량, 하류 수위",Not in source,"AI 기반 댐 하류 수위 및 유량 예측기술 개발, 댐 운영 시 방류량 의사결정 지원",internal_only,금강유역을 대상으로 개발되었으며 향후 전국 확대 예정,1,Low,Optional,수자원공사 보고서_2. extracted_metadata.csv
Nakdong River Estuary Water Environment Monitoring Data,낙동강하구 수환경 모니터링 데이터,N/A,field_measurement,biological,K-water (한국수자원공사),field_collection,낙동강 하구 (기수역 일원),2021 - 2024,정기/정밀 모니터링,"수질, 퇴적물, 생물상(어류, 식생 등) 전반","ROV, eDNA Analysis, SCUBA","염분, TOC, BOD, NH4-N, 저서생물 종조성, 어류 회유 특성(연어, 실뱀장어)",Not in source,하굿둑 해수유입 운영에 따른 기수생태계 복원 효과 평가 및 관리방안 수립,internal_only,환경부 역무대행 사업인 ‘낙동강하구 기수생태계 복원 및 관리사업’의 일환,1,Low,Optional,수자원공사 보고서_2. extracted_metadata.csv
Multi-regional Water Supply Pipe Burst Monitoring System Data,광역상수도 관로사고 감시시스템 데이터,N/A,field_measurement,hydrological,K-water (한국수자원공사),internal_DB,수도권 광역상수도 8개 구역 등,2020 - 2025,1~5분 주기 (Real-time),207개 사고 시나리오 DB 포함,"EPANET, Python-WNTR, AI 사고감지 모델","유량, 수압, 손실수두, 수질(탁도, pH, EC)",Not in source,"디지털 트윈 기반 관로 사고(누수, 파손) 조기 탐지 및 최적 비상연계 대응 방안 도출",internal_only,Twater-NET 디지털 테스트베드 플랫폼 구축의 핵심 데이터,1,Low,Optional,수자원공사 보고서_2. extracted_metadata.csv
K-water Internal Maintenance Data,수도시설 통합관리권역 K-water 내부자료,N/A,DB_system,hydrological,K-water (Korea Water Resources Corporation),internal_DB,National,2018-2019,Not in source,40 regional integration zones,"SCADA, GIS, WIIS","Regional water supply capacity, facility integration zones, modernization project progress",Not in source,Used to refine the 40 proposed water facility integration zones.,internal_only,Includes confidential modernization project data.,1,Low,Optional,미래 물관리 여건을 고려한 광역·지방상수도 최적 운영·관리방안 연구_2021.02.10_미래물관리 최적운영.pdf.pdf
Algal Bloom Warning Status Data,조류경보제 운영 현황 자료,N/A,water_quality,water_quality,Ministry of Environment (환경부),public_portal,"Four major river basins (Han, Geum, Yeongsan, Nakdong)",2013-2018,daily (during alert period),28 points,Not in source,"Number of warning days, harmful cyanobacteria cell count",Not in source,Used to analyze water supply vulnerability due to climate change and heatwaves.,open,Increasing trend of bloom days noted between 2013-2017.,1,Low,Optional,미래 물관리 여건을 고려한 광역·지방상수도 최적 운영·관리방안 연구_2021.02.10_미래물관리 최적운영.pdf.pdf
Japanese Waterworks Guideline (JWWA Q100),일본 수도사업 가이드라인 업무지표,JWWA Q100,literature,other,Japan Water Works Association (JWWA),literature_cited,Japan,2016 Revision,Not in source,119 indicators,Not in source,"Water quality, supply stability, financial sustainability",Document,Benchmarked for developing K-water's integration performance indicators.,open,Standard for Japanese water utility assessment.,1,Low,Optional,미래 물관리 여건을 고려한 광역·지방상수도 최적 운영·관리방안 연구_2021.02.10_미래물관리 최적운영.pdf.pdf
Nakdong River Estuary Water Environment Regular Monitoring Data,낙동강하구 수환경 정기 모니터링 자료,N/A,field_measurement,hydrological,K-water (한국수자원공단 부산권지사),field_collection,낙동강하굿둑 상·하류 본류(ST-1 ~ ST-8) 및 지류하천 7개 지점,2024.05.21 ~ 2024.12.05,"monthly (월 1회, 총 10회)","본류 8개 지점, 지류 7개 지점 (15개 정점)","Aqua TROLL-500, Secchi disk, Niskin sampler, Ponar grab, Surber Net, Dredge sampler, 형망","수온, 염분, pH, DO, EC, 탁도, 투명도, BOD, TOC, Chl-a, TN, TP, 영양염류, 퇴적물(입도, 금속류), 플랑크톤 현존량, 패류/저서생물/어류/식생 출현종 및 개체수",Not in source,낙동강 하굿둑 해수유입 운영에 따른 기수환경 변화 및 수생태계 복원 성과 확인을 위한 기초 자료로 활용,internal_only,환경부 역무대행 사업의 일환으로 K-water에서 수행한 모니터링 데이터임,1,Low,Optional,낙동강하구 기수환경 평가를 위한 수환경 조사 연구_2025.02.10_낙동강하구 기수환경 평가를 위한 수환경 조사 연구.pdf.pdf
"Nakdong River Estuary Precise Monitoring Data (eDNA, Stable Isotope, etc.)","낙동강하구 정밀 모니터링 자료 (eDNA, 안정동위원소 등)",N/A,lab_analysis,ecology,K-water & (주)지오시스템리서치 등 위탁기관,field_collection,"낙동강하구 본류 및 지류, 합류부",2024 (춘계/추계 등),event-based (연 2~5회),"eDNA 7개 지점, 안정동위원소 4개 지점 등","Illumina i-seq/Miniseq, EA-IRMS, GC-IRMS, ICP-MS","eDNA(어류/미생물 종조성), 안정동위원소비(δ13C, δ15N), 아미노산 질소 안정동위원소비, 퇴적물 용출 특성(SOD, BNF, BMF)",Not in source,"최신 분석 기술을 도입하여 기수 지표종 및 회유성 어종의 이동 패턴, 먹이망 구조 및 퇴적물 용출 영향 정밀 분석",internal_only,eDNA 및 안정동위원소 분석을 통해 전통적 조사의 한계를 보완함,1,Low,Optional,낙동강하구 기수환경 평가를 위한 수환경 조사 연구_2025.02.10_낙동강하구 기수환경 평가를 위한 수환경 조사 연구.pdf.pdf
Salmon Tracking Data using Acoustic Tags,초음파 발신기를 이용한 연어 회귀경로 추적 자료,N/A,field_measurement,ecology,K-water & 한국수산자원공단 (FIRA) 협업,field_collection,낙동강하구 ~ 창녕함안보 상류 (약 75km 구간),2024.11.07 ~ 2024.12.04,event-based (6회 추적 조사),"연어 18개체 방류, 수신기 14개소","Submersible Ultrasonic Receiver (SUR), Acoustic Tag","이동 경로, 이동 거리, 위치 신호, 개체별 성별/전장/무게",Not in source,낙동강 하구로 회귀하는 연어의 상류 소상 경로 및 지류 유입 여부 파악,internal_only,한국수산자원공단 동해생명자원센터 협업 데이터,1,Low,Optional,낙동강하구 기수환경 평가를 위한 수환경 조사 연구_2025.02.10_낙동강하구 기수환경 평가를 위한 수환경 조사 연구.pdf.pdf
K-water Reservoir Model (AEM3D),K-water 보유 저수지모형 (AEM3D),AEM3D,model_output,water_quality,K-water,internal_DB,8개 댐 저수지 구역,2020년 및 미래 기후변화 시나리오 기간,Not in source,8개 댐 대상,AEM3D (Aquatic EcoDynamics Model 3D),"수위, 수온, 탁도, 부유물질 (SS)",Not in source,"댐 내 탁수 거동 모의, 선택취수 및 구조적 저감대책 효과 분석",internal_only,기존 CE-QUAL-W2를 대체하거나 병행하여 사용되는 K-water 저수지 모형,1,Low,Optional,댐 탁수 저감대책의 효과평가 및 기후변화를 고려한 저감기법 개발_2023.02.13_댐 탁수 저감대책 효과평가 및 기후변화를 고려한 저감기법 개발.pdf.pdf
Soyang Lake Non-point Source Pollution Management Area Monitoring,소양호 상류 비점오염원 관리지역 모니터링,N/A,field_measurement,water_quality,원주지방환경청,literature_cited,"만대천, 성황천 등 만대지구 하천",2009–2018,정기(청천시) 및 강우시,"BOD, COD, SS, T-N, T-P 등 5개 항목 이상",Not in source,"유량, BOD, COD, SS, T-N, T-P",보고서 수록 표,만대지구 내 하천별 수질 현황 파악 및 강우시 EMC 산정의 기초 자료로 활용,open,비강우시와 강우시를 구분하여 측정됨,1,Low,Optional,만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립_2024.02.13_만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립.pdf.pdf
Heuktoram Soil Statistics,흙토람 토양 통계 정보,N/A,DB_system,soil moisture,농촌진흥청,public_portal,만대지구 (행정동리 기준),2000년 구축,one-time,통계 및 도면 데이터,Not in source,"표토토성, 모암",GIS shapefile,만대지구 지질 및 토양 특성 분석 및 SWAT 모델 입력,open,"사양토 68.4%, 양토 31.1% 등의 분포 분석",1,Low,Optional,만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립_2024.02.13_만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립.pdf.pdf
Water Quality Monitoring at Mulgol-gyo,물골교 지점 수질 모니터링 자료,N/A,field_measurement,water_quality,원주지방환경청,internal_DB,만대천 최하류 (물골교 지점),2017–2022,monthly,6년간 유량 및 SS 농도 자료,Not in source,"유량, SS, SS EMC, SS 부하량",csv/xls,현재 수질 오염 실태 분석 및 SWAT 모델 검보정의 실측치로 활용,internal_only,만대지구 말단 지점의 핵심 수질 데이터,1,Low,Optional,만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립_2024.02.13_만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립.pdf.pdf
Gohyeoncheon Field Survey Data,고현천 현지조사 데이터,N/A,field_measurement,hydrological,K-water Nakdonggang River Management Department,field_collection,Gohyeoncheon stream (10 points),2019.09 - 2020.05,3 rounds (seasonal),10 points (Wa.1 to Wa.10),"pH Meter, DO Meter, BOD Incubator, UV/Visible Spectrometer","Water temperature, Flow rate, DO, pH, Conductivity, SS, BOD, COD, T-N, T-P, Chl-a, depth, velocity",Not in source,Primary data used to evaluate current water quality and environmental characteristics.,internal_only,Primary collected data for this research report.,1,Low,Optional,보현산댐 고현천 하천환경조사 및 건강성 제고방안 연구_2021.02.10_보현산댐 고현천 하천환경조사.pdf.pdf
